brand , product_name , shipping 
MSI,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X Video Card,Free Shipping
ASUS,ASUS ROG Strix Radeon RX 5700 XT ROG-STRIX-RX5700XT-O8G-GAMING Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card| Dual HDB Fans & RGB LED,$6.99 Shipping
GIGABYTE,GIGABYTE Radeon RX 580 GAMING 8G (rev. 2.0) Graphics Card| PCIe 3.0| 8GB 256-Bit GDDR5| GV-RX580GAMING-8GD REV2.0 Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2080 SUPER BLACK GAMING| 08G-P4-3081-KR| 8GB GDDR6,$3.99 Shipping
XFX,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 Video Card,$3.99 Shipping
ASUS,ASUS Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC Video Card,Free Shipping
XFX,XFX RADEON RX 590 FATBOY Core Edition 8GB 1580MHz DDR5 3xDP HDMI DVI PCI Express 3.0 Graphics Card RX-590P8DLD6,$3.99 Shipping
Sapphire Tech,SAPPHIRE PULSE Radeon RX 5700 XT 100416P8GL Video Card,$3.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SOC-6GD Video Card,$7.99 Shipping
ASRock,ASRock Phantom Gaming X Radeon RX Vega 56 DirectX 12 RX VEGA 56 8G Video Card,Free Shipping
